iter	RMSE
0	1.246016693
1	1.242366421
2	1.238676769
3	1.234972921
4	1.231378513
5	1.227888378
6	1.224419079
7	1.221096773
8	1.21770043
9	1.214441029
10	1.211309149
11	1.208107008
12	1.204907817
13	1.20185238
14	1.198701724
15	1.195718137
16	1.192686461
17	1.189761926
18	1.186837521
19	1.184114822
20	1.181303604
21	1.178489164
22	1.175786915
23	1.173147796
24	1.170495712
25	1.167904606
26	1.165333948
27	1.162822172
28	1.160405255
29	1.157978835
30	1.155548612
31	1.153146711
32	1.150785525
33	1.148465522
34	1.146213705
35	1.144029716
36	1.14187516
37	1.139743819
38	1.137610289
39	1.13543665
40	1.133437266
41	1.131403012
42	1.129390154
43	1.127378612
44	1.125400948
45	1.123456013
46	1.121560393
47	1.119700729
48	1.117963442
49	1.116158306
50	1.11437983
51	1.112586324
52	1.110804313
53	1.109118203
54	1.107341339
55	1.105811453
56	1.104185037
57	1.102550525
58	1.101039856
59	1.099547872
60	1.097980615
61	1.096524631
62	1.095080458
63	1.093715024
64	1.092269357
65	1.090754999
66	1.089406983
67	1.088059126
68	1.086708681
69	1.085352259
70	1.084109011
71	1.082760188
72	1.081431886
73	1.080224376
74	1.078996492
75	1.077755666
76	1.076553971
77	1.07542682
78	1.074241048
79	1.073149607
80	1.071992592
81	1.070889683
82	1.06977424
83	1.068653383
84	1.067590198
85	1.066546657
86	1.065593217
87	1.064555547
88	1.063523416
89	1.06255977
90	1.061624428
91	1.060666857
92	1.059747336
93	1.058846461
94	1.057978625
95	1.057071946
96	1.05616661
97	1.055267393
98	1.054383574
99	1.053586098
100	1.052711916
101	1.051835234
102	1.050979601
103	1.050129075
104	1.049250827
105	1.048503137
106	1.04774197
107	1.046947337
108	1.04619366
109	1.045477814
110	1.044750405
111	1.044011824
112	1.043345814
113	1.042636246
114	1.041918375
115	1.041309446
116	1.040609011
117	1.039929217
118	1.039227073
119	1.038580992
120	1.037869845
121	1.037248466
122	1.036527103
123	1.03592047
124	1.03529762
125	1.034711908
126	1.034162494
127	1.033547792
128	1.032955006
129	1.032323799
130	1.031726813
131	1.03119306
132	1.030700249
133	1.030217044
134	1.029703893
135	1.029106112
136	1.02861466
137	1.028040145
138	1.027599152
139	1.027084511
140	1.026612631
141	1.026172479
142	1.025690598
143	1.025226692
144	1.024748797
145	1.024323936
146	1.023819496
147	1.023347143
148	1.022835715
149	1.022346055
150	1.021924699
151	1.021522716
152	1.02111832
153	1.020734818
154	1.020285272
155	1.019874043
156	1.019467437
157	1.019078096
158	1.018657556
159	1.018257276
160	1.017908048
161	1.017466697
162	1.017118696
163	1.016717259
164	1.016357526
165	1.015938064
166	1.015571747
167	1.015191787
168	1.014819499
169	1.014482822
170	1.014165322
171	1.013867723
172	1.013494213
173	1.013195526
174	1.012856129
175	1.012545153
176	1.012190758
177	1.011866361
178	1.011595971
179	1.011321818
180	1.010976162
181	1.01067984
182	1.010412026
183	1.010100482
184	1.00982811
185	1.009556034
186	1.009233533
187	1.009019708
188	1.008708011
189	1.00840618
190	1.008110028
191	1.00784511
192	1.007534162
193	1.007271069
194	1.006993145
195	1.006738962
196	1.00647971
197	1.006213034
198	1.005961437
199	1.00573399
200	1.005506151
201	1.005311766
202	1.005039458
203	1.004778745
204	1.004498862
205	1.004264859
206	1.004060662
207	1.003816953
208	1.003544642
209	1.003276132
210	1.003044976
211	1.002834979
212	1.002617215
213	1.002344144
214	1.002110631
215	1.001895192
216	1.001680577
217	1.001431226
218	1.00125624
219	1.001071903
220	1.000874263
221	1.00061977
222	1.000424279
223	1.000248029
224	0.9999991292
225	0.9998240789
226	0.9996420289
227	0.9994466273
228	0.9992679944
229	0.9990663872
230	0.9988720873
231	0.9986484447
232	0.9984506372
233	0.9982497684
234	0.9980581452
235	0.9978929459
236	0.9976537775
237	0.9974471358
238	0.9972854216
239	0.9971476663
240	0.9969222954
241	0.9967412443
242	0.9965251131
243	0.9963410868
244	0.9961689841
245	0.9959857351
246	0.9958088238
247	0.9956360355
248	0.995441316
249	0.995267714
250	0.9950745789
251	0.9948734974
252	0.994673407
253	0.9945147443
254	0.994375573
255	0.9941512943
256	0.9939653892
257	0.9938156262
258	0.9936875306
259	0.9935274896
260	0.9933493577
261	0.9932047311
262	0.9930641549
263	0.9929093696
264	0.992751584
265	0.9925475878
266	0.9924042233
267	0.9922904885
268	0.9921332314
269	0.9919869541
270	0.9918707883
271	0.9917251935
272	0.9916003093
273	0.9914804909
274	0.9913628541
275	0.9912147374
276	0.9911065144
277	0.9909732668
278	0.9908164599
279	0.9906640547
280	0.9905261007
281	0.9903782356
282	0.9902538096
283	0.9900646597
284	0.9899379009
285	0.9898268362
286	0.9896301252
287	0.9894945101
288	0.9893977924
289	0.9892382521
290	0.9891096265
291	0.9889979342
292	0.9888932426
293	0.9887597597
294	0.9885959952
295	0.9884297808
296	0.9882718465
297	0.9881310091
298	0.9880371798
299	0.9879265939
300	0.9878479203
301	0.9877348573
302	0.9876440764
303	0.9875525627
304	0.9874204734
305	0.9873013764
306	0.9871711752
307	0.9870536235
308	0.9868892293
309	0.9867682715
310	0.9866661487
311	0.9864952585
312	0.9863927606
313	0.9862889908
314	0.9861699778
315	0.9859828833
316	0.985837744
317	0.9857249552
318	0.9855795254
319	0.9854490652
320	0.985352203
321	0.9852369912
322	0.9851159569
323	0.9849696478
324	0.9848883064
325	0.9847727561
326	0.9846921565
327	0.9845558612
328	0.9844300359
329	0.9843338633
330	0.9842291495
331	0.9841300815
332	0.984047375
333	0.9839104214
334	0.9837875168
335	0.9836852742
336	0.9835630688
337	0.9834677917
338	0.9833749723
339	0.9832388424
340	0.9831407501
341	0.9830197424
342	0.9829085604
343	0.9828137262
344	0.9827418271
345	0.9826342851
346	0.9825119489
347	0.98243816
348	0.9823128233
349	0.9822213829
350	0.9820453172
351	0.9819574626
352	0.9818121716
353	0.9816682531
354	0.9815760873
355	0.9815046363
356	0.9814180325
357	0.9813514504
358	0.9812641676
359	0.9811753237
360	0.9810754718
361	0.9810071863
362	0.9809237725
363	0.9808525593
364	0.9807585411
365	0.9806576953
366	0.9805702238
367	0.9804914357
368	0.9804231094
369	0.9803079211
370	0.9801949719
371	0.9800667145
372	0.9799894092
373	0.9799164777
374	0.9798012298
375	0.9797164118
376	0.9796227925
377	0.9795344983
378	0.9794609931
379	0.9793763363
380	0.979301009
381	0.9791719357
382	0.9790755325
383	0.9789926531
384	0.9789332767
385	0.9788595675
386	0.9787614494
387	0.9787005338
388	0.9786010967
389	0.9784743149
390	0.9784191983
391	0.9783641422
392	0.978290263
393	0.9782064268
394	0.978110787
395	0.9779969481
396	0.9778740635
397	0.9777783275
398	0.9777020819
399	0.977607538
400	0.9775458823
401	0.9774508778
402	0.9773973581
403	0.9773243605
404	0.9772638962
405	0.9771691189
406	0.9770992872
407	0.9770262673
408	0.9769760351
409	0.9768897302
410	0.9767885487
411	0.9766834081
412	0.9766241461
413	0.9765482563
414	0.976463315
415	0.9764103146
416	0.9763346629
417	0.9762551188
418	0.9761486145
419	0.9760612487
420	0.9759932816
421	0.9759436973
422	0.9758701447
423	0.9757921245
424	0.9757218755
425	0.9755606724
426	0.975471086
427	0.9754327303
428	0.9753361488
429	0.9752652291
430	0.975204095
431	0.9751189729
432	0.9750489944
433	0.9749709722
434	0.974908097
435	0.9748384862
436	0.9748262352
437	0.9747617554
438	0.9747106726
439	0.9746733399
440	0.9745740026
441	0.9745218249
442	0.9744399944
443	0.9743707331
444	0.9742907095
445	0.9741831284
446	0.9741155091
447	0.9740404136
448	0.9739541679
449	0.9738767287
450	0.9738149007
451	0.9737553044
452	0.9737048715
453	0.9736131338
454	0.9735327284
455	0.9734396007
456	0.9733427575
457	0.9732811192
458	0.9732173999
459	0.9731390072
460	0.9730913229
461	0.9730217739
462	0.9729769607
463	0.9729078829
464	0.9728289538
465	0.9727697767
466	0.9727032422
467	0.9726263749
468	0.972554746
469	0.9725083442
470	0.9723831988
471	0.9723023399
472	0.9722133489
473	0.9721458805
474	0.9720731604
475	0.9720114736
476	0.9719796368
477	0.9718980723
478	0.971830774
479	0.971742956
480	0.9716951072
481	0.971635733
482	0.9715865345
483	0.9714906592
484	0.9713728747
485	0.9713159783
486	0.9712834463
487	0.9712392254
488	0.971120834
489	0.9710472044
490	0.9710137025
491	0.9709314162
492	0.9708722516
493	0.9707928686
494	0.9707222578
495	0.9706642339
496	0.9705849621
497	0.9705275068
498	0.9704657538
499	0.9704139962
500	0.9703374604
501	0.9702541872
502	0.9701807803
503	0.9701394584
504	0.9700839003
505	0.9700364506
506	0.9699787705
507	0.9699259287
508	0.9698508295
509	0.9697898672
510	0.9697290294
511	0.9696598486
512	0.9696277101
513	0.9695601579
514	0.9695026419
515	0.9694377439
516	0.9693783598
517	0.9693266724
518	0.9692877848
519	0.9692663189
520	0.9691882484
521	0.9691262175
522	0.9690743563
523	0.9690331156
524	0.9689193336
525	0.9688718911
526	0.9688075928
527	0.9687662766
528	0.9686959354
529	0.9686205803
530	0.9685417513
531	0.968499942
532	0.9684605395
533	0.9684183093
534	0.9683729619
535	0.9682904512
536	0.9682482456
537	0.9681877927
538	0.9681223247
539	0.9680512299
540	0.968013287
541	0.9679294925
542	0.9678511857
543	0.9677721012
544	0.9677261451
545	0.9676911784
546	0.9676036275
547	0.9675473452
548	0.9675218869
549	0.9674294665
550	0.9673803113
551	0.9673239838
552	0.967258811
553	0.9672469141
554	0.9672072354
555	0.9671978139
556	0.9671613489
557	0.9671277446
558	0.9670955219
559	0.9670158611
560	0.9669450388
561	0.9668771384
562	0.9668118067
563	0.9667548671
564	0.9666870499
565	0.9666341569
566	0.9665524953
567	0.966468188
568	0.9664291853
569	0.9664217836
570	0.9663615384
571	0.9662951097
572	0.9662144816
573	0.96617196
574	0.9660985649
575	0.9660431286
576	0.9659899749
577	0.9659373335
578	0.9658884888
579	0.9658346504
580	0.9657793921
581	0.9657088334
582	0.9656434227
583	0.9655911167
584	0.9655317537
585	0.9654712918
586	0.9654455533
587	0.9653838296
588	0.9653340548
589	0.9652882725
590	0.9652478689
591	0.9651619009
592	0.9651112446
593	0.9650721226
594	0.9650237497
595	0.9649778883
596	0.9649677682
597	0.9649171661
598	0.9648815174
599	0.9647967417
600	0.9647446155
601	0.9646726592
602	0.9646258461
603	0.9645560091
604	0.9644703342
605	0.9644309282
606	0.9644092253
607	0.9643636894
608	0.9642909629
609	0.9641975231
610	0.9641580415
611	0.9640952676
612	0.9640208756
613	0.9639898718
614	0.9639308619
615	0.9638946927
616	0.9638431308
617	0.9637936636
618	0.9637553595
619	0.9637065009
620	0.9636610609
621	0.9636461827
622	0.9636080018
623	0.963582859
624	0.9635355411
625	0.9634973881
626	0.96348212
627	0.9633998361
628	0.9633883758
629	0.9633176419
630	0.9632747342
631	0.963210482
632	0.9631571398
633	0.9631069915
634	0.9630653016
635	0.9630100136
636	0.9629496194
637	0.9628692926
638	0.96282349
639	0.9627703525
640	0.9627585617
641	0.9627348504
642	0.9626815141
643	0.9626471719
644	0.9626030388
645	0.9625615532
646	0.9624974473
647	0.9624624199
648	0.9624347267
649	0.9623901961
650	0.9623073663
651	0.9622456676
652	0.9621709386
653	0.9621347033
654	0.9620885425
655	0.9620523041
656	0.9620261185
657	0.9619595844
658	0.9619172627
659	0.9618741955
660	0.9618207145
661	0.9617829462
662	0.9617530668
663	0.9617145197
664	0.9616730928
665	0.961611418
666	0.9615635179
667	0.961500057
668	0.9614113925
669	0.9613893625
670	0.9613481157
671	0.9613045054
672	0.9612770699
673	0.9612241704
674	0.9611857963
675	0.9611305296
676	0.9610775573
677	0.9610106663
678	0.9609627686
679	0.9609367475
680	0.9608968406
681	0.9608446323
682	0.9608130405
683	0.9607629965
684	0.960709745
685	0.9606672064
686	0.9606586596
687	0.9606013876
688	0.9605554769
689	0.9605085927
690	0.9604932447
691	0.9604315913
692	0.960406754
693	0.9603515072
694	0.9603069772
695	0.9602380568
696	0.9601908332
697	0.9601204792
698	0.9600840693
699	0.9600547849
700	0.9600324647
701	0.9600164936
702	0.9599659869
703	0.9599066
704	0.9598634102
705	0.9598161681
706	0.9597523001
707	0.959697923
708	0.9596746547
709	0.9596134997
710	0.9595612539
711	0.9595045972
712	0.9594663811
713	0.9594069957
714	0.9593400207
715	0.9592784877
716	0.9592449963
717	0.9591871535
718	0.9591327445
719	0.9590573838
720	0.959011237
721	0.9589648286
722	0.9588746971
723	0.9587997054
724	0.9587461502
725	0.9587031027
726	0.9586708888
727	0.9586032135
