iter	Passed	Remaining
0	93	93709
1	189	94600
2	287	95570
3	383	95508
4	481	95822
5	575	95279
6	682	96806
7	778	96583
8	877	96575
9	981	97124
10	1073	96485
11	1167	96129
12	1264	95993
13	1361	95894
14	1465	96208
15	1560	96001
16	1664	96253
17	1760	96060
18	1866	96349
19	1962	96150
20	2074	96702
21	2177	96795
22	2283	97000
23	2394	97395
24	2507	97797
25	2633	98653
26	2750	99126
27	2873	99736
28	2979	99747
29	3088	99871
30	3187	99645
31	3289	99496
32	3390	99347
33	3494	99289
34	3599	99237
35	3697	99009
36	3806	99063
37	3906	98884
38	4008	98766
39	4107	98589
40	4211	98505
41	4318	98506
42	4424	98469
43	4526	98357
44	4624	98150
45	4725	98004
46	4831	97957
47	4932	97823
48	5024	97517
49	5131	97495
50	5226	97245
51	5328	97147
52	5429	97013
53	5525	96795
54	5626	96666
55	5719	96421
56	5821	96307
57	5940	96476
58	6044	96412
59	6144	96271
60	6237	96023
61	6336	95859
62	6433	95680
63	6530	95503
64	6623	95275
65	6727	95203
66	6825	95041
67	6930	94986
68	7024	94778
69	7128	94703
70	7222	94499
71	7327	94439
72	7420	94231
73	7514	94037
74	7610	93857
75	7710	93741
76	7809	93613
77	7907	93467
78	8010	93383
79	8107	93237
80	8205	93091
81	8311	93049
82	8412	92940
83	8512	92829
84	8614	92731
85	8715	92622
86	8804	92394
87	8903	92276
88	9006	92185
89	9100	92019
90	9196	91868
91	9295	91739
92	9390	91578
93	9483	91409
94	9578	91251
95	9681	91167
96	9777	91021
97	9877	90911
98	9981	90845
99	10076	90691
100	10170	90528
101	10270	90423
102	10371	90322
103	10466	90173
104	10565	90057
105	10656	89879
106	10752	89738
107	10851	89628
108	10948	89499
109	11046	89375
110	11145	89266
111	11239	89114
112	11330	88940
113	11424	88793
114	11520	88656
115	11615	88519
116	11708	88363
117	11804	88231
118	11911	88182
119	12009	88066
120	12119	88038
121	12215	87908
122	12317	87827
123	12420	87747
124	12526	87686
125	12622	87556
126	12722	87452
127	12830	87406
128	12932	87321
129	13036	87245
130	13137	87146
131	13237	87045
132	13338	86950
133	13434	86821
134	13537	86739
135	13642	86672
136	13749	86612
137	13850	86516
138	13944	86375
139	14043	86265
140	14142	86158
141	14234	86005
142	14330	85883
143	14434	85806
144	14540	85738
145	14630	85578
146	14726	85451
147	14825	85347
148	14924	85242
149	15026	85152
150	15122	85025
151	15212	84870
152	15305	84728
153	15396	84583
154	15493	84462
155	15587	84334
156	15678	84184
157	15778	84083
158	15875	83970
159	15969	83837
160	16063	83711
161	16156	83575
162	16254	83466
163	16352	83356
164	16448	83237
165	16544	83122
166	16638	82991
167	16730	82858
168	16828	82750
169	16923	82628
170	17016	82496
171	17111	82372
172	17209	82269
173	17305	82149
174	17403	82045
175	17494	81906
176	17590	81788
177	17688	81684
178	17785	81576
179	17882	81465
180	17982	81370
181	18085	81284
182	18187	81198
183	18286	81095
184	18389	81013
185	18496	80948
186	18597	80852
187	18692	80737
188	18789	80627
189	18888	80526
190	18987	80421
191	19083	80311
192	19186	80224
193	19282	80109
194	19377	79993
195	19484	79926
196	19581	79816
197	19677	79704
198	19772	79585
199	19864	79458
200	19956	79328
201	20048	79202
202	20147	79102
203	20237	78967
204	20334	78859
205	20427	78734
206	20520	78611
207	20613	78488
208	20711	78384
209	20813	78297
210	20910	78191
211	21004	78072
212	21097	77950
213	21197	77856
214	21291	77739
215	21381	77606
216	21472	77480
217	21567	77367
218	21658	77237
219	21743	77091
220	21846	77005
221	21947	76913
222	22035	76778
223	22132	76672
224	22229	76568
225	22322	76448
226	22416	76334
227	22515	76235
228	22611	76128
229	22707	76022
230	22810	75935
231	22909	75838
232	23010	75748
233	23110	75653
234	23202	75532
235	23301	75435
236	23398	75330
237	23498	75233
238	23595	75130
239	23697	75040
240	23799	74953
241	23890	74829
242	23984	74715
243	24078	74604
244	24171	74486
245	24269	74385
246	24364	74278
247	24459	74168
248	24555	74060
249	24652	73957
250	24751	73860
251	24848	73755
252	24953	73677
253	25051	73575
254	25146	73468
255	25244	73367
256	25345	73276
257	25447	73185
258	25537	73063
259	25636	72966
260	25735	72869
261	25826	72747
262	25921	72639
263	26012	72520
264	26111	72421
265	26227	72373
266	26314	72242
267	26408	72131
268	26499	72012
269	26595	71906
270	26684	71781
271	26773	71658
272	26860	71530
273	26955	71423
274	27047	71305
275	27139	71191
276	27235	71087
277	27328	70974
278	27418	70856
279	27512	70745
280	27606	70636
281	27702	70532
282	27797	70427
283	27895	70329
284	27989	70218
285	28078	70098
286	28176	69999
287	28272	69895
288	28362	69776
289	28452	69660
290	28541	69539
291	28632	69422
292	28715	69289
293	28816	69198
294	28912	69095
295	29008	68993
296	29105	68893
297	29198	68783
298	29291	68672
299	29382	68560
300	29465	68427
301	29558	68316
302	29645	68193
303	29733	68073
304	29828	67969
305	29922	67863
306	30012	67747
307	30103	67634
308	30197	67529
309	30290	67420
310	30397	67343
311	30498	67254
312	30590	67141
313	30677	67021
314	30766	66904
315	30861	66801
316	30950	66686
317	31041	66573
318	31129	66455
319	31232	66369
320	31322	66255
321	31423	66164
322	31515	66055
323	31613	65959
324	31700	65839
325	31799	65745
326	31891	65635
327	31990	65541
328	32084	65437
329	32184	65343
330	32281	65244
331	32378	65146
332	32464	65026
333	32553	64911
334	32644	64802
335	32737	64695
336	32828	64586
337	32914	64465
338	33003	64351
339	33097	64247
340	33181	64125
341	33273	64016
342	33366	63912
343	33451	63790
344	33535	63668
345	33622	63552
346	33713	63443
347	33804	63335
348	33902	63238
349	33990	63125
350	34100	63051
351	34193	62946
352	34291	62851
353	34390	62757
354	34484	62655
355	34571	62539
356	34662	62431
357	34745	62308
358	34835	62199
359	34928	62094
360	35020	61988
361	35104	61869
362	35194	61760
363	35287	61656
364	35376	61545
365	35462	61430
366	35553	61323
367	35647	61221
368	35737	61111
369	35826	61002
370	35918	60896
371	36009	60790
372	36108	60696
373	36194	60581
374	36287	60478
375	36387	60387
376	36477	60280
377	36568	60172
378	36660	60069
379	36752	59964
380	36841	59856
381	36930	59746
382	37019	59637
383	37102	59519
384	37186	59401
385	37273	59290
386	37368	59191
387	37452	59074
388	37539	58962
389	37635	58865
390	37720	58750
391	37806	58639
392	37889	58521
393	37974	58408
394	38072	58314
395	38164	58209
396	38253	58102
397	38343	57997
398	38434	57892
399	38525	57788
400	38609	57672
401	38702	57572
402	38794	57469
403	38880	57358
404	38965	57245
405	39052	57135
406	39141	57029
407	39230	56922
408	39315	56810
409	39403	56701
410	39487	56589
411	39586	56497
412	39674	56390
413	39765	56286
414	39852	56176
415	39938	56067
416	40029	55964
417	40127	55871
418	40223	55775
419	40322	55682
420	40408	55574
421	40509	55484
422	40603	55386
423	40696	55286
424	40783	55177
425	40874	55075
426	40960	54965
427	41044	54853
428	41143	54762
429	41230	54653
430	41320	54551
431	41412	54449
432	41498	54341
433	41590	54240
434	41678	54134
435	41763	54024
436	41850	53916
437	41934	53806
438	42018	53695
439	42102	53585
440	42192	53481
441	42282	53379
442	42374	53278
443	42458	53169
444	42545	53062
445	42638	52963
446	42722	52853
447	42819	52759
448	42904	52651
449	42990	52544
450	43082	52444
451	43171	52341
452	43254	52229
453	43344	52128
454	43435	52026
455	43527	51927
456	43621	51830
457	43713	51730
458	43798	51622
459	43890	51523
460	43981	51422
461	44068	51317
462	44152	51208
463	44242	51107
464	44336	51010
465	44418	50900
466	44508	50798
467	44596	50695
468	44682	50589
469	44771	50486
470	44869	50395
471	44965	50300
472	45061	50206
473	45153	50106
474	45242	50005
475	45328	49899
476	45416	49796
477	45508	49697
478	45593	49591
479	45691	49499
480	45775	49391
481	45874	49300
482	45959	49194
483	46050	49095
484	46144	48999
485	46231	48895
486	46316	48789
487	46399	48681
488	46496	48588
489	46585	48487
490	46664	48375
491	46752	48272
492	46836	48166
493	46927	48067
494	47013	47963
495	47098	47858
496	47188	47758
497	47276	47656
498	47364	47554
499	47453	47453
500	47543	47353
501	47635	47255
502	47721	47152
503	47809	47050
504	47896	46948
505	47984	46846
506	48072	46744
507	48162	46645
508	48249	46542
509	48337	46442
510	48429	46344
511	48517	46243
512	48609	46145
513	48694	46041
514	48778	45937
515	48865	45835
516	48951	45732
517	49038	45630
518	49124	45527
519	49204	45419
520	49297	45323
521	49381	45218
522	49462	45112
523	49552	45013
524	49650	44922
525	49735	44818
526	49830	44724
527	49921	44627
528	50011	44528
529	50105	44432
530	50197	44336
531	50282	44233
532	50366	44129
533	50454	44029
534	50539	43926
535	50631	43830
536	50713	43725
537	50796	43620
538	50883	43519
539	50972	43421
540	51055	43317
541	51148	43221
542	51234	43119
543	51323	43021
544	51403	42914
545	51486	42811
546	51578	42714
547	51663	42613
548	51752	42514
549	51842	42416
550	51927	42314
551	52016	42216
552	52111	42122
553	52195	42020
554	52281	41919
555	52362	41814
556	52446	41712
557	52530	41609
558	52612	41506
559	52703	41409
560	52788	41308
561	52883	41215
562	52970	41115
563	53055	41014
564	53143	40915
565	53228	40814
566	53320	40719
567	53405	40618
568	53492	40518
569	53579	40419
570	53675	40327
571	53769	40232
572	53863	40139
573	53950	40040
574	54036	39939
575	54122	39840
576	54215	39745
577	54302	39646
578	54387	39546
579	54473	39446
580	54562	39348
581	54649	39250
582	54734	39149
583	54824	39052
584	54915	38957
585	55001	38857
586	55087	38758
587	55177	38661
588	55261	38560
589	55342	38458
590	55427	38358
591	55518	38262
592	55604	38163
593	55686	38062
594	55771	37961
595	55861	37866
596	55951	37769
597	56038	37671
598	56123	37571
599	56214	37476
600	56300	37377
601	56390	37281
