iter	MultiClass
0	1.671550035
1	1.493805655
2	1.364248003
3	1.264613529
4	1.18523778
5	1.118468285
6	1.062350543
7	1.015089935
8	0.9730859208
9	0.9371103238
10	0.9052778265
11	0.877627625
12	0.8543105878
13	0.8327498499
14	0.8134306914
15	0.7950229288
16	0.7794256619
17	0.7638195205
18	0.7506144997
19	0.7379398043
20	0.7261569403
21	0.7153156592
22	0.7064846125
23	0.6977193186
24	0.6914038885
25	0.6847178088
26	0.6774092961
27	0.6710010187
28	0.6650220843
29	0.6596018472
30	0.6548581649
31	0.6503870407
32	0.6456087339
33	0.6419836562
34	0.6374118858
35	0.6337970946
36	0.6305068991
37	0.6269725172
38	0.6233799125
39	0.6195976466
40	0.6166764198
41	0.6137849767
42	0.6112088514
43	0.608902326
44	0.6064637572
45	0.6048488465
46	0.6017540269
47	0.5987813005
48	0.5972213856
49	0.5955044841
50	0.5928865405
51	0.5905048498
52	0.5887478109
53	0.5863960385
54	0.5838053238
55	0.5818603717
56	0.5794681256
57	0.5778835366
58	0.5763969044
59	0.5743654248
60	0.5727698097
61	0.5705089349
62	0.5685643189
63	0.5674341504
64	0.5657481084
65	0.5638940874
66	0.5621479737
67	0.5607871325
68	0.5592206288
69	0.557948332
70	0.5566872293
71	0.5549556041
72	0.55406068
73	0.5530812455
74	0.5520652367
75	0.550541022
76	0.5490006715
77	0.5476343509
78	0.5464093517
79	0.5448362594
80	0.5440799339
81	0.5429593796
82	0.5419001743
83	0.5407656357
84	0.5396806134
85	0.5386699833
86	0.5374373869
87	0.5366096276
88	0.5353776699
89	0.5343282805
90	0.5333651161
91	0.5324129441
92	0.5317633493
93	0.5298359783
94	0.5287049358
95	0.5279096158
96	0.5268174333
97	0.5257988026
98	0.5248414873
99	0.523564249
100	0.5227910483
101	0.5220085024
102	0.5209865101
103	0.5196511161
104	0.518795758
105	0.5176639423
106	0.5168039789
107	0.5154578278
108	0.5143919666
109	0.5135418863
110	0.5125993957
111	0.5117305912
112	0.5111665491
113	0.5101429767
114	0.5092139325
115	0.5084289326
116	0.5076339488
117	0.5068925825
118	0.5062740489
119	0.5055919138
120	0.5047153441
121	0.5037257575
122	0.5029093267
123	0.5021362269
124	0.5015564861
125	0.5006310724
126	0.4999727375
127	0.499283812
128	0.4985138049
129	0.4978612519
130	0.4967399916
131	0.4958961974
132	0.4952077762
133	0.494590251
134	0.4941389904
135	0.4931501098
136	0.4926581738
137	0.4920183277
138	0.4915500574
139	0.4906433678
140	0.4900020761
141	0.4895835238
142	0.4890134644
143	0.4881536018
144	0.4876379666
145	0.4872537362
146	0.4867762888
147	0.4859406969
148	0.4851614117
149	0.4847130757
150	0.483766215
151	0.4830275379
152	0.4825359045
153	0.4821262605
154	0.4815489736
155	0.4807205083
156	0.4800038161
157	0.4796627822
158	0.4790789402
159	0.4782743086
160	0.4779760342
161	0.4772793435
162	0.4764755523
163	0.4759715146
164	0.4753448796
165	0.4748810802
166	0.4744474007
167	0.4738904515
168	0.4733957591
169	0.4727586022
170	0.4720051341
171	0.4715648323
172	0.471152667
173	0.4703274625
174	0.4699056158
175	0.4693371363
176	0.4688280899
177	0.4681121036
178	0.4676626582
179	0.4672865965
180	0.4668110315
181	0.4663209781
182	0.4657355562
183	0.4650970547
184	0.4646290197
185	0.4641425295
186	0.4634414687
187	0.4629114795
188	0.462630719
189	0.4621102095
190	0.4615713457
