iter	Passed	Remaining
0	21	108887
1	44	110942
2	68	114844
3	90	112933
4	111	111587
5	133	111176
6	153	109546
7	172	107345
8	189	105347
9	210	105221
10	231	104863
11	252	104865
12	271	104125
13	291	103924
14	314	104447
15	331	103367
16	351	102948
17	370	102467
18	389	102171
19	408	101808
20	431	102275
21	450	101863
22	469	101522
23	488	101343
24	511	101817
25	530	101425
26	564	103926
27	584	103812
28	606	104000
29	625	103666
30	651	104450
31	669	103980
32	689	103848
33	706	103229
34	726	103083
35	746	102942
36	765	102657
37	783	102302
38	801	101904
39	825	102300
40	846	102342
41	867	102420
42	891	102780
43	910	102529
44	928	102270
45	947	102039
46	967	101986
47	987	101849
48	1003	101413
49	1021	101148
50	1041	101055
51	1062	101137
52	1082	101025
53	1101	100900
54	1120	100775
55	1139	100617
56	1158	100429
57	1177	100356
58	1195	100115
59	1215	100048
60	1235	100034
61	1258	100200
62	1281	100410
63	1301	100390
64	1321	100308
65	1344	100510
66	1366	100646
67	1386	100562
68	1406	100546
69	1427	100535
70	1447	100512
71	1469	100575
72	1489	100555
73	1508	100403
74	1530	100486
75	1552	100553
76	1572	100529
77	1591	100443
78	1612	100460
79	1632	100418
80	1651	100306
81	1672	100305
82	1698	100627
83	1718	100600
84	1739	100578
85	1758	100469
86	1778	100431
87	1797	100309
88	1818	100355
89	1840	100432
90	1861	100425
91	1883	100468
92	1909	100731
93	1931	100794
94	1952	100818
95	1971	100704
96	1992	100691
97	2021	101128
98	2050	101530
99	2080	101927
100	2105	102135
101	2129	102278
102	2152	102320
103	2173	102320
104	2196	102412
105	2219	102458
106	2239	102415
107	2264	102558
108	2290	102771
109	2311	102767
110	2332	102746
111	2359	102965
112	2379	102901
113	2400	102884
114	2420	102803
115	2441	102777
116	2463	102826
117	2484	102811
118	2507	102849
119	2528	102826
120	2550	102823
121	2572	102850
122	2591	102772
123	2613	102786
124	2633	102691
125	2653	102650
126	2676	102690
127	2700	102776
128	2726	102951
129	2753	103152
130	2786	103579
131	2816	103865
132	2842	104008
133	2868	104175
134	2889	104122
135	2921	104498
136	2944	104515
137	2964	104456
138	2983	104339
139	3006	104378
140	3029	104400
141	3049	104339
142	3068	104229
143	3087	104132
144	3105	103981
145	3123	103845
146	3141	103728
147	3161	103646
148	3180	103544
149	3198	103422
150	3218	103364
151	3238	103295
152	3257	103193
153	3276	103089
154	3294	102973
155	3314	102919
156	3334	102848
157	3356	102862
158	3378	102871
159	3406	103056
160	3425	102958
161	3444	102863
162	3464	102801
163	3484	102744
164	3504	102680
165	3524	102633
166	3541	102494
167	3560	102397
168	3576	102239
169	3595	102148
170	3615	102094
171	3635	102054
172	3653	101943
173	3681	102102
174	3700	102015
175	3720	101973
176	3740	101932
177	3761	101894
178	3781	101841
179	3800	101756
180	3820	101706
181	3839	101640
182	3862	101670
183	3883	101636
184	3904	101618
185	3925	101592
186	3952	101717
187	3973	101714
188	3994	101677
189	4015	101659
190	4037	101665
191	4057	101594
192	4078	101584
193	4099	101555
194	4120	101534
195	4140	101489
196	4159	101423
197	4179	101368
198	4199	101326
199	4219	101269
200	4238	101200
201	4259	101164
202	4283	101217
203	4306	101239
204	4325	101168
205	4353	101309
206	4374	101279
207	4394	101232
208	4415	101210
209	4434	101151
210	4452	101054
211	4475	101075
212	4502	101194
213	4521	101126
214	4540	101041
215	4558	100965
216	4577	100884
217	4597	100840
218	4615	100764
219	4634	100700
220	4659	100757
221	4679	100720
222	4699	100663
223	4716	100566
224	4735	100494
225	4753	100418
226	4771	100318
227	4791	100294
228	4810	100221
229	4829	100153
230	4847	100079
231	4867	100026
232	4890	100048
233	4909	100002
234	4932	100020
235	4955	100025
236	4977	100032
237	5001	100064
238	5022	100050
239	5041	99995
240	5062	99972
241	5083	99945
242	5103	99912
243	5125	99900
244	5144	99851
245	5164	99802
246	5186	99810
247	5207	99779
248	5229	99777
249	5252	99796
250	5277	99857
251	5298	99833
252	5318	99787
253	5343	99849
254	5381	100139
255	5402	100108
256	5421	100054
257	5442	100035
258	5466	100062
259	5485	100012
260	5506	99978
261	5526	99935
262	5544	99861
263	5563	99808
264	5583	99758
265	5604	99738
266	5624	99694
267	5644	99671
268	5666	99653
269	5688	99652
270	5708	99618
271	5728	99568
272	5748	99543
273	5770	99532
274	5789	99476
275	5819	99599
276	5839	99564
277	5859	99530
278	5880	99497
279	5901	99477
280	5921	99440
281	5942	99427
282	5969	99506
283	5989	99466
284	6010	99436
285	6031	99407
286	6050	99360
287	6072	99356
288	6093	99327
289	6112	99270
290	6133	99251
291	6151	99187
292	6173	99183
293	6198	99214
294	6218	99183
295	6239	99158
296	6259	99114
297	6278	99063
298	6297	99014
299	6317	98976
300	6337	98938
301	6355	98871
302	6375	98824
303	6393	98757
304	6412	98713
305	6432	98667
306	6451	98622
307	6471	98586
308	6490	98529
309	6509	98478
310	6526	98396
311	6544	98339
312	6564	98302
313	6583	98254
314	6603	98216
315	6621	98152
316	6639	98090
317	6658	98027
318	6676	97966
319	6696	97937
320	6715	97885
321	6735	97845
322	6753	97792
323	6772	97741
324	6790	97684
325	6809	97635
326	6827	97571
327	6847	97533
328	6868	97513
329	6887	97467
330	6905	97410
331	6924	97359
332	6942	97301
333	6961	97257
334	6980	97212
335	6998	97149
336	7018	97109
337	7037	97066
338	7056	97024
339	7075	96974
340	7094	96929
341	7114	96897
342	7135	96884
343	7161	96932
344	7178	96860
345	7198	96823
346	7216	96765
347	7234	96706
348	7253	96665
349	7273	96634
350	7301	96702
351	7324	96722
352	7351	96776
353	7377	96823
354	7406	96913
355	7439	97043
356	7466	97104
357	7489	97110
358	7508	97071
359	7527	97020
360	7546	96973
361	7565	96932
362	7583	96871
363	7601	96813
364	7621	96787
365	7643	96781
366	7666	96783
367	7691	96808
368	7711	96781
369	7732	96761
370	7752	96732
371	7773	96713
372	7792	96662
373	7812	96626
374	7835	96640
375	7860	96662
376	7886	96709
377	7914	96771
378	7941	96824
379	7969	96887
380	7996	96948
381	8019	96948
382	8045	96990
383	8073	97053
384	8094	97025
385	8114	96996
386	8135	96968
387	8154	96928
388	8177	96930
389	8199	96916
390	8222	96929
391	8242	96892
392	8261	96845
393	8284	96854
394	8309	96878
395	8330	96856
396	8350	96820
397	8373	96816
398	8397	96828
399	8420	96833
400	8443	96841
401	8466	96834
402	8488	96822
403	8509	96805
404	8530	96781
405	8554	96796
406	8573	96757
407	8597	96762
408	8618	96742
409	8641	96744
410	8671	96816
411	8698	96867
412	8734	97010
413	8760	97046
414	8787	97087
415	8813	97122
416	8841	97169
417	8871	97245
418	8902	97336
419	8929	97369
420	8952	97372
421	8974	97356
422	8992	97304
423	9013	97278
424	9032	97232
425	9051	97187
426	9071	97156
427	9091	97117
428	9113	97100
429	9132	97063
430	9155	97055
431	9177	97041
432	9198	97014
433	9217	96974
434	9235	96919
435	9254	96871
436	9273	96830
437	9293	96798
438	9311	96742
439	9330	96698
440	9354	96708
441	9374	96672
442	9395	96648
443	9417	96633
444	9436	96586
445	9455	96546
446	9476	96525
447	9494	96472
448	9512	96418
449	9530	96361
450	9547	96301
451	9567	96265
452	9587	96236
453	9605	96183
